<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.12.03	3849.230	3849.230	3778.730	3815.730	4896	9189	0
2012.12.04	3821.500	3821.500	3789.000	3813.000	3308	5367	0
2012.12.05	3790.050	3794.050	3762.050	3762.050	2746	4836	0
2012.12.06	3744.310	3755.810	3737.810	3737.810	2286	4003	0
2012.12.07	3731.800	3749.570	3724.070	3724.070	2361	4147	0
2012.12.10	3732.710	3743.710	3729.210	3739.710	2223	3525	0
2012.12.11	3729.070	3738.470	3723.470	3723.470	2012	3585	0
2012.12.12	3732.710	3740.130	3715.130	3718.630	2078	3342	0
2012.12.13	3723.720	3738.720	3723.720	3735.220	2142	3251	0
2012.12.14	3745.220	3750.720	3732.720	3744.720	2359	4235	0
2012.12.17	3743.450	3763.110	3741.610	3763.110	2403	3603	0
2012.12.18	3760.470	3770.470	3743.470	3748.470	2840	5135	0
2012.12.19	3738.060	3738.110	3723.110	3726.610	2498	4118	0
2012.12.20	3710.300	3710.300	3691.300	3707.300	2387	4056	0
2012.12.21	3729.070	3732.710	3711.570	3726.570	2879	4861	0
2012.12.26	3720.090	3722.590	3663.090	3675.090	3127	5218	0
2012.12.27	3667.230	3679.730	3660.730	3664.730	2616	4635	0
2012.12.28	3661.820	3666.470	3658.470	3662.470	375	818	0
2013.01.02	3640.450	3660.450	3640.450	3658.950	1894	2862	0
2013.01.03	3668.980	3671.980	3651.480	3670.480	2282	3586	0
2013.01.04	3669.800	3671.300	3651.300	3655.800	2019	3105	0
2013.01.07	3645.750	3646.450	3633.950	3640.950	2821	4193	0
2013.01.08	3632.370	3648.650	3621.150	3648.650	3287	5040	0
2013.01.09	3654.580	3662.510	3648.510	3661.510	2526	3996	0
2013.01.10	3643.040	3644.950	3631.950	3631.950	2720	4167	0
2013.01.11	3633.210	3644.710	3629.210	3633.210	1756	2955	0
2013.01.14	3636.870	3639.910	3634.910	3636.910	1846	2774	0
2013.01.15	3638.610	3644.110	3637.610	3638.110	1575	2718	0
2013.01.16	3643.980	3651.160	3639.660	3645.160	2100	3631	0
2013.01.17	3643.040	3656.040	3643.040	3656.040	1943	3211	0
2013.01.18	3649.290	3654.790	3646.290	3648.790	1863	3274	0
2013.01.21	3645.750	3649.250	3645.750	3647.250	247	549	0
2013.01.22	3644.840	3658.750	3644.750	3647.250	2549	4385	0
2013.01.23	3646.620	3649.990	3638.990	3639.490	2063	3433	0
2013.01.24	3633.210	3635.630	3626.130	3632.630	2147	3861	0
2013.01.28	3623.380	3631.380	3560.380	3560.880	4414	7498	0
2013.01.29	3565.430	3565.430	3544.930	3545.430	3805	6545	0
2013.01.30	3539.570	3568.070	3538.070	3548.070	4398	7519	0
2013.01.31	3536.850	3542.350	3534.850	3540.350	251	778	0
2013.02.01	3551.860	3562.360	3539.360	3560.360	2782	5077	0
2013.02.04	3550.990	3559.990	3543.490	3557.490	2446	3949	0
2013.02.05	3556.280	3556.780	3544.780	3545.780	2706	4747	0
2013.02.06	3544.730	3551.490	3541.990	3551.490	1999	3369	0
2013.02.07	3546.530	3546.530	3503.530	3513.530	3841	7101	0
2013.02.08	3480.730	3533.190	3480.730	3522.190	4094	7720	0
