<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.12.03	09:00:00	3849.230	3849.230	3799.730	3804.230	414	838	0
2012.12.03	10:00:00	3803.730	3814.230	3784.730	3791.730	621	1801	0
2012.12.03	11:00:00	3791.730	3795.230	3778.730	3792.730	702	1179	0
2012.12.03	12:00:00	3793.230	3812.230	3792.230	3812.230	805	1355	0
2012.12.03	13:00:00	3812.230	3814.230	3794.730	3794.730	515	847	0
2012.12.03	14:00:00	3795.230	3801.730	3790.730	3799.730	510	757	0
2012.12.03	15:00:00	3799.730	3807.730	3796.730	3805.730	736	1260	0
2012.12.03	16:00:00	3805.730	3806.730	3801.230	3805.730	247	507	0
2012.12.03	17:00:00	3805.730	3820.230	3805.230	3815.730	346	645	0
2012.12.04	09:00:00	3821.500	3821.500	3789.000	3792.000	421	746	0
2012.12.04	10:00:00	3793.500	3795.000	3789.500	3794.500	309	562	0
2012.12.04	11:00:00	3794.500	3800.500	3794.000	3797.500	335	622	0
2012.12.04	12:00:00	3798.000	3800.000	3795.000	3796.000	339	455	0
2012.12.04	13:00:00	3796.000	3799.500	3796.000	3798.500	334	522	0
2012.12.04	14:00:00	3798.500	3802.500	3797.000	3802.000	320	481	0
2012.12.04	15:00:00	3802.000	3805.500	3793.000	3799.500	593	892	0
2012.12.04	16:00:00	3799.500	3810.500	3799.500	3805.500	370	535	0
2012.12.04	17:00:00	3805.000	3813.000	3804.500	3813.000	287	552	0
2012.12.05	09:00:00	3790.050	3794.050	3786.050	3794.050	235	428	0
2012.12.05	10:00:00	3793.550	3794.050	3788.050	3789.550	225	420	0
2012.12.05	11:00:00	3789.050	3790.550	3784.550	3788.050	279	487	0
2012.12.05	12:00:00	3788.050	3788.550	3781.050	3784.050	361	554	0
2012.12.05	13:00:00	3783.550	3788.550	3782.550	3788.050	340	516	0
2012.12.05	14:00:00	3787.550	3787.550	3782.050	3783.050	372	636	0
2012.12.05	15:00:00	3783.050	3783.050	3779.550	3780.550	351	522	0
2012.12.05	16:00:00	3780.550	3781.050	3775.550	3776.550	224	467	0
2012.12.05	17:00:00	3776.050	3777.550	3762.050	3762.050	359	806	0
2012.12.06	09:00:00	3744.310	3752.810	3741.610	3749.810	149	291	0
2012.12.06	10:00:00	3749.810	3755.810	3747.810	3754.810	216	454	0
2012.12.06	11:00:00	3754.310	3754.310	3743.310	3749.810	461	802	0
2012.12.06	12:00:00	3749.810	3750.310	3744.810	3745.310	273	340	0
2012.12.06	13:00:00	3745.810	3747.310	3743.310	3744.310	259	380	0
2012.12.06	14:00:00	3744.310	3745.310	3743.810	3744.310	184	308	0
2012.12.06	15:00:00	3744.810	3744.810	3739.310	3742.310	383	719	0
2012.12.06	16:00:00	3742.310	3743.310	3739.810	3742.810	182	356	0
2012.12.06	17:00:00	3742.310	3742.310	3737.810	3737.810	179	353	0
2012.12.07	09:00:00	3731.800	3742.570	3727.570	3737.570	245	484	0
2012.12.07	10:00:00	3737.570	3739.570	3737.570	3738.070	92	234	0
2012.12.07	11:00:00	3738.570	3741.070	3728.570	3733.070	277	477	0
2012.12.07	12:00:00	3733.570	3738.070	3732.070	3735.570	265	390	0
2012.12.07	13:00:00	3735.570	3738.570	3735.070	3736.070	283	383	0
2012.12.07	14:00:00	3735.570	3737.570	3735.070	3737.070	217	278	0
2012.12.07	15:00:00	3737.070	3745.070	3737.070	3742.570	310	510	0
2012.12.07	16:00:00	3742.570	3749.570	3740.570	3748.570	224	393	0
2012.12.07	17:00:00	3748.570	3749.070	3724.070	3724.070	448	998	0
2012.12.10	09:00:00	3732.710	3740.710	3729.210	3739.210	219	431	0
2012.12.10	10:00:00	3739.210	3742.710	3735.710	3738.710	315	513	0
2012.12.10	11:00:00	3738.210	3742.710	3736.710	3741.710	232	382	0
2012.12.10	12:00:00	3741.710	3743.710	3740.210	3743.710	231	331	0
2012.12.10	13:00:00	3743.210	3743.710	3737.210	3742.710	293	438	0
2012.12.10	14:00:00	3742.710	3743.210	3740.210	3743.210	303	402	0
2012.12.10	15:00:00	3743.210	3743.210	3737.710	3738.210	228	343	0
2012.12.10	16:00:00	3738.210	3738.710	3736.210	3737.210	143	209	0
2012.12.10	17:00:00	3736.710	3739.710	3736.710	3739.710	259	476	0
2012.12.11	09:00:00	3729.070	3729.970	3726.970	3727.470	123	250	0
2012.12.11	10:00:00	3727.970	3732.470	3727.970	3730.970	161	359	0
2012.12.11	11:00:00	3730.470	3731.470	3729.470	3729.970	95	147	0
