<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.12.03	09:00:00	3849.230	3849.230	3812.230	3813.730	171	358	0
2012.12.03	09:30:00	3813.730	3820.730	3799.730	3804.230	243	480	0
2012.12.03	10:00:00	3803.730	3814.230	3802.230	3807.730	166	342	0
2012.12.03	10:30:00	3807.730	3807.730	3784.730	3791.730	455	1459	0
2012.12.03	11:00:00	3791.730	3793.230	3778.730	3784.230	402	678	0
2012.12.03	11:30:00	3784.730	3795.230	3783.230	3792.730	300	501	0
2012.12.03	12:00:00	3793.230	3804.230	3792.230	3801.230	309	516	0
2012.12.03	12:30:00	3801.230	3812.230	3799.730	3812.230	496	839	0
2012.12.03	13:00:00	3812.230	3814.230	3805.730	3809.730	277	441	0
2012.12.03	13:30:00	3810.230	3810.230	3794.730	3794.730	238	406	0
2012.12.03	14:00:00	3795.230	3798.230	3790.730	3797.730	269	436	0
2012.12.03	14:30:00	3798.230	3801.730	3797.730	3799.730	241	321	0
2012.12.03	15:00:00	3799.730	3807.730	3796.730	3803.730	509	910	0
2012.12.03	15:30:00	3803.730	3806.730	3800.730	3805.730	227	350	0
2012.12.03	16:00:00	3805.730	3805.730	3801.230	3805.730	145	248	0
2012.12.03	16:30:00	3805.730	3806.730	3804.230	3805.730	102	259	0
2012.12.03	17:00:00	3805.730	3810.730	3805.230	3810.730	152	290	0
2012.12.03	17:30:00	3810.730	3820.230	3809.230	3815.730	194	355	0
2012.12.04	09:00:00	3821.500	3821.500	3807.500	3807.500	93	139	0
2012.12.04	09:30:00	3808.000	3809.000	3789.000	3792.000	328	607	0
2012.12.04	10:00:00	3793.500	3795.000	3789.500	3792.500	153	267	0
2012.12.04	10:30:00	3792.000	3795.000	3792.000	3794.500	156	295	0
2012.12.04	11:00:00	3794.500	3797.500	3794.000	3797.500	164	329	0
2012.12.04	11:30:00	3797.500	3800.500	3796.500	3797.500	171	293	0
2012.12.04	12:00:00	3798.000	3798.500	3796.500	3796.500	87	126	0
2012.12.04	12:30:00	3797.000	3800.000	3795.000	3796.000	252	329	0
2012.12.04	13:00:00	3796.000	3799.500	3796.000	3797.500	229	370	0
2012.12.04	13:30:00	3797.500	3799.000	3797.500	3798.500	105	152	0
2012.12.04	14:00:00	3798.500	3800.500	3798.500	3800.000	113	169	0
2012.12.04	14:30:00	3800.000	3802.500	3797.000	3802.000	207	312	0
2012.12.04	15:00:00	3802.000	3805.500	3793.000	3798.000	390	625	0
2012.12.04	15:30:00	3798.500	3800.000	3798.000	3799.500	203	267	0
2012.12.04	16:00:00	3799.500	3810.500	3799.500	3806.500	290	422	0
2012.12.04	16:30:00	3806.500	3806.500	3804.000	3805.500	80	113	0
2012.12.04	17:00:00	3805.000	3809.500	3804.500	3809.500	115	217	0
2012.12.04	17:30:00	3809.500	3813.000	3809.500	3813.000	172	335	0
2012.12.05	09:00:00	3790.050	3791.550	3786.050	3788.550	134	255	0
