<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.20	76665	77282	75472	76172	141387	342239	0
2014.10.21	73039	73946	72116	72941	163626	394149	0
2014.10.22	72628	73998	72213	72448	142727	345869	0
2014.10.23	71873	72122	69177	70022	174140	422085	0
2014.10.24	70547	73688	70078	71398	186986	477306	0
2014.10.27	66160	70443	65978	70153	177654	474781	0
2014.10.28	70535	72645	70530	71950	153085	382876	0
2014.10.29	71259	72479	70224	71129	149720	369204	0
2014.10.30	71423	72841	71306	72386	153772	364712	0
2014.10.31	73614	75974	72724	75829	171500	412867	0
2014.11.03	75233	75520	73500	74680	150735	368555	0
2014.11.04	74801	75637	73912	74597	164793	395235	0
2014.11.05	74685	75057	73942	74222	129817	307118	0
2014.11.06	73861	73923	72452	72612	142222	336439	0
2014.11.07	73175	74103	72203	73708	156428	373111	0
2014.11.10	73999	74564	72649	72684	123025	290940	0
2014.11.11	72547	72844	71824	72684	124569	293427	0
2014.11.12	72547	73918	72108	72978	134223	320515	0
2014.11.13	73321	73730	71510	71660	158309	360342	0
2014.11.14	71168	71654	69779	71584	155731	357761	0
2014.11.17	71122	72077	70327	70712	150497	331456	0
2014.11.18	70836	72229	70484	72069	149994	344469	0
2014.11.19	71873	74128	71728	73723	175806	412914	0
2014.11.21	74549	78175	74383	78170	197836	457751	0
2014.11.24	77894	79235	76465	76725	184540	439768	0
2014.11.25	76756	77818	76198	76663	154620	364300	0
2014.11.26	77125	77453	75833	76348	131726	314632	0
2014.11.27	76261	77280	75150	75640	108921	272565	0
2014.11.28	75643	76371	74931	74931	127056	310771	0
2014.12.01	74601	74727	71382	71642	167602	414971	0
2014.12.02	71944	72351	70651	70926	154300	362925	0
2014.12.03	71189	72178	71053	71423	122212	283850	0
2014.12.04	72401	72559	70208	70638	136091	324748	0
2014.12.05	71012	71539	70219	71329	123185	292649	0
2014.12.08	70903	71232	68622	69072	122890	288697	0
2014.12.09	68519	69084	67809	68949	161743	378865	0
2014.12.10	68998	69012	67706	68006	161570	381700	0
2014.12.11	68080	68501	66921	67631	142477	345435	0
2014.12.12	66908	68231	65791	66271	153752	377205	0
2014.12.15	66379	66504	63514	64914	169423	422812	0
2014.12.16	64729	65254	62664	64279	230754	563902	0
2014.12.17	64486	67472	64207	66107	180248	438393	0
2014.12.18	67283	68010	66110	66495	155823	363825	0
2014.12.19	66918	68122	66577	68122	139157	332853	0
2014.12.22	71369	71907	70397	71717	116700	283303	0
2014.12.23	71835	72841	71316	72531	113491	277880	0
2014.12.26	72683	73118	71553	71883	75918	173598	0
2014.12.29	71702	72955	71395	72795	101534	240782	0
2014.12.30	72698	72816	71111	71196	106756	253502	0
2015.01.02	70994	71273	68988	69388	120551	286214	0
2015.01.05	69367	69367	67523	67963	134217	323439	0
2015.01.06	67670	68947	67272	68947	145767	366835	0
2015.01.07	69466	71348	69418	70803	129104	314747	0
2015.01.08	70994	71914	69994	71394	144536	353199	0
2015.01.09	71036	71206	69295	69900	130092	310341	0
2015.01.12	70053	70074	68354	68499	136357	324602	0
2015.01.13	68752	69757	68307	68547	154265	363647	0
2015.01.14	68306	68960	67435	68735	153282	368508	0
2015.01.15	68320	69721	67816	68736	160813	393431	0
2015.01.16	68335	70333	68163	69843	141677	344039	0
2015.01.19	69255	69572	67612	68107	69828	187810	0
2015.01.20	68703	69423	67898	68698	142848	354398	0
2015.01.21	68519	70359	68309	70359	157996	407360	0
2015.01.22	70499	71679	70029	70529	151583	366227	0
2015.01.23	70265	70486	69061	69101	123120	319698	0
2015.01.26	68533	69173	68128	68683	109579	278871	0
2015.01.27	68306	69493	67308	69143	143829	372417	0
2015.01.28	68136	68548	67548	67798	145784	377698	0
2015.01.29	67458	68047	66712	67712	160402	414842	0
2015.01.30	67225	67315	65760	66885	144649	376713	0
2015.02.02	66511	67906	66301	67906	151496	381290	0
2015.02.03	68526	69566	68456	69421	156308	397780	0
2015.02.04	69297	70526	68386	70036	178147	461205	0
2015.02.05	69826	70565	69340	70100	140812	347637	0
2015.02.06	69665	69933	68339	69164	149606	376039	0
2015.02.09	68561	70141	68291	70086	129544	329770	0
2015.02.10	70300	70537	68597	68887	151602	375665	0
2015.02.11	68504	68991	67651	68766	145062	353984	0
2015.02.12	69297	70388	69113	70098	128964	329122	0
2015.02.13	70372	72112	70372	72112	107303	261749	0
2015.02.18	72327	73467	72077	72327	81237	215812	0
2015.02.19	72327	73002	71832	72607	116815	297482	0
2015.02.20	72355	72760	71580	72425	131972	331593	0
2015.02.23	72293	73092	71877	72117	131480	341387	0
2015.02.24	72132	73362	71752	73202	142228	359669	0
2015.02.25	72015	73216	71736	73051	128098	323620	0
2015.02.26	73051	73537	72097	73202	136501	359226	0
2015.02.27	73335	74026	72321	72786	167556	441653	0
2015.03.02	72772	72958	71528	71958	135450	344516	0
2015.03.03	71659	72435	71603	72260	139358	342667	0
2015.03.04	71423	71784	70889	71504	144464	375902	0
2015.03.05	71540	71639	70466	70746	123999	312167	0
2015.03.06	70824	70908	70008	70243	129812	336560	0
2015.03.09	69933	70104	68629	68629	134596	342466	0
2015.03.10	68215	69111	67651	67701	174807	474970	0
2015.03.11	67950	69586	67816	68736	140384	384288	0
2015.03.12	69036	69815	68330	68480	131569	360492	0
2015.03.13	68263	68403	66898	68258	166513	437096	0
2015.03.16	68250	69210	67870	68280	123854	316751	0
2015.03.17	68181	70596	68034	70551	149334	393253	0
2015.03.18	70330	72672	69792	72392	181478	470568	0
2015.03.19	72021	72273	71188	71458	155093	396798	0
2015.03.20	71659	73328	71473	72543	162831	415663	0
2015.03.23	72634	73112	72172	72747	141649	359981	0
2015.03.24	73051	73378	71378	72448	134442	349104	0
2015.03.25	72008	73226	71980	72301	149518	388431	0
2015.03.26	72076	72309	70489	70494	148142	382389	0
2015.03.27	70720	70720	69682	70047	132695	344582	0
2015.03.30	70392	71575	70090	71520	123343	319584	0
2015.03.31	71200	71987	70577	71237	127502	341477	0
2015.04.01	71429	73499	71423	73309	132379	337680	0
2015.04.02	72869	74382	72782	74182	152520	394635	0
2015.04.06	74053	75518	73783	74868	129544	329625	0
2015.04.07	75048	75364	74474	75004	132971	348381	0
2015.04.08	75416	76068	74543	74758	168017	434655	0
2015.04.09	74685	75276	74201	74946	144126	353400	0
2015.04.10	75201	75731	74351	75611	132670	325758	0
2015.04.13	75465	76362	75142	75512	140143	343485	0
2015.04.14	75471	76133	74798	75278	148458	374100	0
2015.04.15	75295	76485	75210	76425	139140	337217	0
2015.04.16	76103	76427	75577	76222	133905	334063	0
2015.04.17	75692	75761	74841	75161	133284	338496	0
2015.04.20	75487	75713	74388	74583	123128	308306	0
2015.04.22	74528	76204	74219	75709	136916	346864	0
2015.04.23	75369	77392	74897	77132	158750	406081	0
2015.04.24	77129	79030	77129	78580	141211	359335	0
2015.04.27	78567	79076	76841	77206	159809	394874	0
2015.04.28	76808	77743	76368	77568	143248	347608	0
2015.04.29	77292	77292	76264	76934	135457	337717	0
2015.04.30	76581	77894	76059	77839	142511	369420	0
2015.05.04	78546	79716	78311	79716	112410	290361	0
2015.05.05	79455	80618	79018	80608	142500	370819	0
2015.05.06	80482	81080	78775	79660	162569	419289	0
2015.05.07	79251	79479	78169	78884	134129	329198	0
2015.05.08	79264	80070	78360	78955	134038	347772	0
2015.05.11	79497	79581	78756	78756	128011	312935	0
2015.05.12	78361	79395	78170	78200	118233	287754	0
2015.05.13	78696	78872	77587	78142	121004	290642	0
2015.05.14	78237	78633	77388	78253	138446	342858	0
2015.05.15	78429	79212	77857	78977	115787	286447	0
2015.05.18	79045	79761	77166	77316	134830	349826	0
2015.05.19	77676	77826	75926	76576	126244	316779	0
2015.05.20	76177	76798	75493	75493	149204	362160	0
2015.05.21	75514	76200	75060	76185	118442	291992	0
2015.05.22	75487	76407	74442	74697	142790	355870	0
2015.05.25	75028	75565	74075	75070	87702	223397	0
2015.05.26	75247	75247	73619	73619	136994	338070	0
2015.05.27	74007	74752	73097	74337	128014	311983	0
2015.05.28	73967	74297	73377	73957	121084	297876	0
2015.05.29	73912	74382	72447	72512	147868	391668	0
2015.06.01	72920	73079	72274	72724	122457	305031	0
2015.06.02	72846	74546	72746	74491	130022	331134	0
