<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.20	09:00:00	76665	77282	76497	76912	8672	22324	0
2014.10.20	10:00:00	76922	77187	76317	76467	19761	45175	0
2014.10.20	11:00:00	76467	76642	75842	76432	27952	66923	0
2014.10.20	12:00:00	76427	76762	76237	76322	18725	45321	0
2014.10.20	13:00:00	76327	76627	76122	76467	12019	29278	0
2014.10.20	14:00:00	76472	76482	75807	75822	12152	28776	0
2014.10.20	15:00:00	75822	76067	75712	75967	12825	28040	0
2014.10.20	16:00:00	75962	76257	75582	75717	20739	50777	0
2014.10.20	17:00:00	75712	76222	75472	76202	8328	24470	0
2014.10.20	18:00:00	76172	76172	76172	76172	214	1155	0
2014.10.21	09:00:00	73039	73271	72176	72326	12331	30270	0
2014.10.21	10:00:00	72321	72846	72116	72756	18439	44004	0
2014.10.21	11:00:00	72756	73526	72496	73431	28588	66760	0
2014.10.21	12:00:00	73431	73946	73226	73711	20480	48283	0
2014.10.21	13:00:00	73716	73776	73346	73391	17180	39423	0
2014.10.21	14:00:00	73396	73461	72691	72816	21295	51620	0
2014.10.21	15:00:00	72796	72931	72491	72821	15207	37438	0
2014.10.21	16:00:00	72811	73056	72401	72811	19128	46820	0
2014.10.21	17:00:00	72796	73326	72701	72981	10746	28217	0
2014.10.21	18:00:00	72941	72941	72941	72941	232	1314	0
2014.10.22	09:00:00	72628	72902	72213	72728	10531	26345	0
2014.10.22	10:00:00	72723	73443	72633	73323	17306	40633	0
2014.10.22	11:00:00	73323	73863	72938	73843	20461	46073	0
2014.10.22	12:00:00	73838	73998	73428	73658	17718	40704	0
2014.10.22	13:00:00	73668	73738	73108	73468	13065	30867	0
2014.10.22	14:00:00	73468	73668	73043	73283	16144	37993	0
2014.10.22	15:00:00	73288	73388	72223	72423	19629	48303	0
2014.10.22	16:00:00	72423	73098	72283	73063	18681	49015	0
2014.10.22	17:00:00	73053	73058	72383	72408	8959	24257	0
2014.10.22	18:00:00	72448	72448	72448	72448	233	1679	0
2014.10.23	09:00:00	71873	72122	71617	71942	9952	23832	0
2014.10.23	10:00:00	71947	72102	70847	71127	23303	58125	0
2014.10.23	11:00:00	71122	71672	70967	71577	18812	44035	0
2014.10.23	12:00:00	71577	71867	71257	71282	19000	45467	0
2014.10.23	13:00:00	71287	71407	70687	70877	17772	42710	0
2014.10.23	14:00:00	70867	71087	70287	70632	18856	45237	0
2014.10.23	15:00:00	70632	70947	70502	70902	12259	29015	0
2014.10.23	16:00:00	70902	71107	69607	70087	31833	77951	0
2014.10.23	17:00:00	70092	70542	69177	70057	22104	54015	0
2014.10.23	18:00:00	70022	70022	70022	70022	249	1698	0
