<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.20	09:00:00	76665	77282	76497	76977	4180	11300	0
2014.10.20	09:30:00	76967	77082	76662	76912	4492	11024	0
2014.10.20	10:00:00	76922	77187	76687	77157	8377	19402	0
2014.10.20	10:30:00	77142	77162	76317	76467	11384	25773	0
2014.10.20	11:00:00	76467	76642	75927	76392	13172	31752	0
2014.10.20	11:30:00	76397	76512	75842	76432	14780	35171	0
2014.10.20	12:00:00	76427	76762	76237	76607	12465	30243	0
2014.10.20	12:30:00	76607	76632	76312	76322	6260	15078	0
2014.10.20	13:00:00	76327	76582	76122	76422	6340	15527	0
2014.10.20	13:30:00	76422	76627	76267	76467	5679	13751	0
2014.10.20	14:00:00	76472	76482	76177	76242	5707	13789	0
2014.10.20	14:30:00	76247	76247	75807	75822	6445	14987	0
2014.10.20	15:00:00	75822	76027	75762	75977	6219	13428	0
2014.10.20	15:30:00	75972	76067	75712	75967	6606	14612	0
2014.10.20	16:00:00	75962	76257	75647	75752	9677	23209	0
2014.10.20	16:30:00	75747	76192	75582	75717	11062	27568	0
2014.10.20	17:00:00	75712	75812	75602	75742	4850	14238	0
2014.10.20	17:30:00	75752	76222	75472	76202	3478	10232	0
2014.10.20	18:00:00	76172	76172	76172	76172	214	1155	0
2014.10.21	09:00:00	73039	73271	72366	72486	7398	17766	0
2014.10.21	09:30:00	72491	72526	72176	72326	4933	12504	0
2014.10.21	10:00:00	72321	72586	72116	72446	10225	24827	0
2014.10.21	10:30:00	72461	72846	72396	72756	8214	19177	0
2014.10.21	11:00:00	72756	72841	72496	72576	10880	25553	0
2014.10.21	11:30:00	72581	73526	72571	73431	17708	41207	0
2014.10.21	12:00:00	73431	73621	73226	73411	10063	24562	0
2014.10.21	12:30:00	73406	73946	73276	73711	10417	23721	0
2014.10.21	13:00:00	73716	73776	73366	73521	8880	20316	0
2014.10.21	13:30:00	73516	73751	73346	73391	8300	19107	0
2014.10.21	14:00:00	73396	73461	72981	73031	11195	26232	0
2014.10.21	14:30:00	73026	73116	72691	72816	10100	25388	0
2014.10.21	15:00:00	72796	72801	72491	72671	8407	21470	0
2014.10.21	15:30:00	72671	72931	72636	72821	6800	15968	0
2014.10.21	16:00:00	72811	72871	72426	72596	8461	20768	0
2014.10.21	16:30:00	72596	73056	72401	72811	10667	26052	0
2014.10.21	17:00:00	72796	73236	72701	73166	7338	18883	0
2014.10.21	17:30:00	73176	73326	72881	72981	3408	9334	0
2014.10.21	18:00:00	72941	72941	72941	72941	232	1314	0
2014.10.22	09:00:00	72628	72902	72403	72603	4581	11153	0
2014.10.22	09:30:00	72608	72743	72213	72728	5950	15192	0
2014.10.22	10:00:00	72723	73198	72633	72888	8399	20786	0
2014.10.22	10:30:00	72893	73443	72773	73323	8907	19847	0
2014.10.22	11:00:00	73323	73388	72938	73343	8053	18493	0
2014.10.22	11:30:00	73343	73863	73338	73843	12408	27580	0
2014.10.22	12:00:00	73838	73998	73428	73788	10267	23324	0
2014.10.22	12:30:00	73788	73873	73498	73658	7451	17380	0
2014.10.22	13:00:00	73668	73738	73223	73248	7247	17610	0
2014.10.22	13:30:00	73248	73543	73108	73468	5818	13257	0
2014.10.22	14:00:00	73468	73668	73393	73518	6969	15774	0
2014.10.22	14:30:00	73503	73638	73043	73283	9175	22219	0
2014.10.22	15:00:00	73288	73388	73098	73103	7078	16628	0
2014.10.22	15:30:00	73098	73308	72223	72423	12551	31675	0
2014.10.22	16:00:00	72423	72783	72283	72518	10238	27150	0
2014.10.22	16:30:00	72513	73098	72448	73063	8443	21865	0
2014.10.22	17:00:00	73053	73058	72688	72823	5453	14157	0
2014.10.22	17:30:00	72828	72838	72383	72408	3506	10100	0
2014.10.22	18:00:00	72448	72448	72448	72448	233	1679	0
2014.10.23	09:00:00	71873	72072	71617	71907	4916	11623	0
2014.10.23	09:30:00	71917	72122	71807	71942	5036	12209	0
2014.10.23	10:00:00	71947	72102	71047	71112	12424	32335	0
2014.10.23	10:30:00	71112	71272	70847	71127	10879	25790	0
2014.10.23	11:00:00	71122	71367	70967	71332	7145	16673	0
2014.10.23	11:30:00	71332	71672	71137	71577	11667	27362	0
2014.10.23	12:00:00	71577	71867	71402	71432	11255	27017	0
2014.10.23	12:30:00	71437	71682	71257	71282	7745	18450	0
2014.10.23	13:00:00	71287	71407	71012	71022	8552	20927	0
2014.10.23	13:30:00	71027	71047	70687	70877	9220	21783	0
2014.10.23	14:00:00	70867	71087	70587	70787	8347	19678	0
2014.10.23	14:30:00	70782	70782	70287	70632	10509	25559	0
2014.10.23	15:00:00	70632	70852	70502	70842	6173	14676	0
2014.10.23	15:30:00	70837	70947	70747	70902	6086	14339	0
2014.10.23	16:00:00	70902	71107	70707	70852	10374	25718	0
2014.10.23	16:30:00	70857	71012	69607	70087	21459	52233	0
2014.10.23	17:00:00	70092	70452	69177	70317	17644	42810	0
2014.10.23	17:30:00	70317	70542	70057	70057	4460	11205	0
2014.10.23	18:00:00	70022	70022	70022	70022	249	1698	0
2014.10.24	09:00:00	70547	71763	70208	70563	8454	23046	0
2014.10.24	09:30:00	70558	70868	70078	70678	5786	14380	0
2014.10.24	10:00:00	70683	70793	70133	70733	8081	20272	0
2014.10.24	10:30:00	70733	71103	70693	71063	9520	22675	0
2014.10.24	11:00:00	71068	71268	70848	71198	7277	18017	0
2014.10.24	11:30:00	71203	72198	71098	71923	13576	35364	0
2014.10.24	12:00:00	71923	72923	71878	72868	17201	43130	0
2014.10.24	12:30:00	72878	73143	72523	72803	12702	32832	0
2014.10.24	13:00:00	72808	72978	72623	72933	6847	18186	0
2014.10.24	13:30:00	72928	73543	72818	73483	7272	22470	0
2014.10.24	14:00:00	73478	73688	73083	73103	9218	23546	0
2014.10.24	14:30:00	73108	73138	72618	72973	11448	27333	0
2014.10.24	15:00:00	72978	73078	72323	72643	13550	32190	0
2014.10.24	15:30:00	72653	72928	72513	72883	8144	19842	0
2014.10.24	16:00:00	72878	72903	71733	71758	15922	39099	0
2014.10.24	16:30:00	71753	71943	70943	71623	19900	51356	0
2014.10.24	17:00:00	71618	72163	71553	72088	8165	20968	0
2014.10.24	17:30:00	72088	72303	71533	71763	3708	10557	0
2014.10.24	18:00:00	71398	71398	71398	71398	215	2043	0
2014.10.27	09:00:00	66160	67413	66098	66468	8429	23555	0
2014.10.27	09:30:00	66473	66788	65978	66378	7045	20235	0
2014.10.27	10:00:00	66363	67538	66133	67483	13579	38079	0
2014.10.27	10:30:00	67498	68578	67498	68353	15637	44848	0
2014.10.27	11:00:00	68358	68643	67943	68303	12326	30066	0
2014.10.27	11:30:00	68313	68878	68173	68653	17554	42253	0
2014.10.27	12:00:00	68663	69173	68493	68568	11524	29314	0
2014.10.27	12:30:00	68578	68848	68313	68848	7744	19051	0
2014.10.27	13:00:00	68843	69078	68713	68808	7926	20161	0
2014.10.27	13:30:00	68813	69223	68803	69083	7146	18110	0
2014.10.27	14:00:00	69073	69473	69038	69323	6412	17212	0
2014.10.27	14:30:00	69333	69363	68883	69253	8566	21162	0
2014.10.27	15:00:00	69243	70123	69208	69848	12574	34934	0
2014.10.27	15:30:00	69843	70443	69588	70048	13164	35485	0
2014.10.27	16:00:00	70043	70238	69698	69893	9926	26606	0
2014.10.27	16:30:00	69898	69998	69413	69603	9709	27318	0
2014.10.27	17:00:00	69613	69843	69368	69483	5285	15489	0
2014.10.27	17:30:00	69478	69973	69423	69898	2875	8679	0
2014.10.27	18:00:00	70153	70153	70153	70153	233	2224	0
2014.10.28	09:00:00	70535	71045	70530	70820	5268	13737	0
2014.10.28	09:30:00	70830	71210	70705	71075	4987	12839	0
2014.10.28	10:00:00	71085	71890	70980	71470	11541	29930	0
2014.10.28	10:30:00	71475	71650	70900	71275	11857	27819	0
2014.10.28	11:00:00	71265	71455	70835	71420	11904	27647	0
2014.10.28	11:30:00	71400	71675	71170	71225	14542	35408	0
2014.10.28	12:00:00	71235	71410	70925	71290	9586	24227	0
2014.10.28	12:30:00	71290	71775	71205	71775	7394	17693	0
2014.10.28	13:00:00	71775	72140	71680	71925	9722	23843	0
2014.10.28	13:30:00	71930	71940	71540	71755	7596	18373	0
2014.10.28	14:00:00	71755	71985	71585	71905	6041	14516	0
2014.10.28	14:30:00	71910	72030	71580	71715	6709	16429	0
2014.10.28	15:00:00	71715	71825	71480	71655	7606	18566	0
2014.10.28	15:30:00	71650	72055	71570	72040	8270	19835	0
2014.10.28	16:00:00	72040	72645	72005	72525	11111	28416	0
2014.10.28	16:30:00	72530	72610	72235	72250	10147	26993	0
2014.10.28	17:00:00	72255	72515	72220	72425	5483	15592	0
2014.10.28	17:30:00	72420	72505	71755	71880	3113	9579	0
2014.10.28	18:00:00	71950	71950	71950	71950	208	1434	0
2014.10.29	09:00:00	71259	71659	71141	71649	4767	12115	0
2014.10.29	09:30:00	71654	71799	71514	71739	4286	10022	0
2014.10.29	10:00:00	71759	72479	71654	72004	12133	30113	0
2014.10.29	10:30:00	71999	72049	71459	71804	12229	28680	0
2014.10.29	11:00:00	71814	72154	71619	72114	10826	25841	0
2014.10.29	11:30:00	72114	72294	71714	71889	13075	30201	0
2014.10.29	12:00:00	71899	72209	71839	71954	8624	20067	0
2014.10.29	12:30:00	71959	72124	71889	71954	5193	11523	0
2014.10.29	13:00:00	71959	72279	71904	72229	4663	10939	0
2014.10.29	13:30:00	72239	72314	72049	72099	4585	10561	0
2014.10.29	14:00:00	72094	72179	71899	71914	5156	11712	0
2014.10.29	14:30:00	71914	71974	71759	71834	6216	15154	0
2014.10.29	15:00:00	71834	71834	71454	71579	7837	20440	0
2014.10.29	15:30:00	71584	71694	71284	71534	8823	21505	0
2014.10.29	16:00:00	71519	71634	70924	71519	14567	36594	0
2014.10.29	16:30:00	71534	71539	70804	70849	11881	31006	0
2014.10.29	17:00:00	70859	70869	70224	70444	9132	26429	0
2014.10.29	17:30:00	70449	71129	70449	71064	5503	14706	0
2014.10.29	18:00:00	71129	71129	71129	71129	224	1596	0
2014.10.30	09:00:00	71423	71961	71395	71641	5844	15103	0
2014.10.30	09:30:00	71641	71691	71306	71531	5776	14261	0
2014.10.30	10:00:00	71531	72026	71446	71961	9769	23462	0
2014.10.30	10:30:00	71901	72096	71616	71641	10675	25154	0
2014.10.30	11:00:00	71636	72261	71511	72056	11221	26989	0
2014.10.30	11:30:00	72056	72171	71626	71746	16850	39681	0
2014.10.30	12:00:00	71761	72361	71701	72281	13336	30494	0
2014.10.30	12:30:00	72271	72476	72101	72376	8808	20787	0
2014.10.30	13:00:00	72371	72416	72071	72166	6643	15148	0
2014.10.30	13:30:00	72166	72391	71986	72186	6435	14842	0
2014.10.30	14:00:00	72191	72426	72176	72286	6185	13638	0
2014.10.30	14:30:00	72286	72376	72111	72181	5733	12272	0
2014.10.30	15:00:00	72186	72576	72166	72426	10880	24678	0
