<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.19	76665	77282	69177	71398	808866	1981648	0
2014.10.26	66160	75974	65978	75829	805731	2004440	0
2014.11.02	75233	75637	72203	73708	743995	1780458	0
2014.11.09	73999	74564	69779	71584	695857	1622985	0
2014.11.16	71122	78175	70327	78170	674133	1546590	0
2014.11.23	77894	79235	74931	74931	706863	1702036	0
2014.11.30	74601	74727	70208	71329	703390	1679143	0
2014.12.07	70903	71232	65791	66271	742432	1771902	0
2014.12.14	66379	68122	62664	68122	875405	2121785	0
2014.12.21	71369	73118	70397	71883	306109	734781	0
2014.12.28	71702	72955	68988	69388	328841	780498	0
2015.01.04	69367	71914	67272	69900	683716	1668561	0
2015.01.11	70053	70333	67435	69843	746394	1794227	0
2015.01.18	69255	71679	67612	69101	645375	1635493	0
2015.01.25	68533	69493	65760	66885	704243	1820541	0
2015.02.01	66511	70565	66301	69164	776369	1963951	0
2015.02.08	68561	72112	67651	72112	662475	1650290	0
2015.02.15	72327	73467	71580	72425	330024	844887	0
2015.02.22	72293	74026	71736	72786	705863	1825555	0
2015.03.01	72772	72958	70008	70243	673083	1711812	0
2015.03.08	69933	70104	66898	68258	747869	1999312	0
2015.03.15	68250	73328	67870	72543	772590	1993033	0
2015.03.22	72634	73378	69682	70047	706446	1824487	0
2015.03.29	70392	74382	70090	74182	535744	1393376	0
2015.04.05	74053	76068	73783	75611	707328	1791819	0
2015.04.12	75465	76485	74798	75161	694930	1727361	0
2015.04.19	75487	79030	74219	78580	560005	1420586	0
2015.04.26	78567	79076	76059	77839	581025	1449619	0
2015.05.03	78546	81080	78169	78955	685646	1757439	0
2015.05.10	79497	79581	77388	78977	621481	1520636	0
2015.05.17	79045	79761	74442	74697	671510	1676627	0
2015.05.24	75028	75565	72447	72512	621662	1562994	0
2015.05.31	72920	74630	72274	72603	486600	1228710	0
2015.06.07	72529	74582	72063	73099	559931	1463827	0
2015.06.14	72797	74333	71877	73326	572250	1528569	0
2015.06.21	73771	74391	72173	73609	540602	1463842	0
2015.06.28	72392	73352	71201	71426	513738	1329604	0
2015.07.05	70873	71782	69536	71337	514329	1357219	0
2015.07.12	71753	72540	70774	70774	529262	1423281	0
2015.07.19	70966	71112	65736	66601	614998	1698381	0
2015.07.26	65969	68742	65742	68742	779238	2116475	0
2015.08.02	68290	68583	65126	65126	624347	1689388	0
2015.08.09	65203	67299	63680	63825	686901	1820697	0
2015.08.16	63816	64622	60678	60678	783825	2056086	0
2015.08.23	58152	64211	56955	63025	1191872	3035628	0
2015.08.30	62391	63365	60206	61998	992261	2566935	0
2015.09.06	62569	63757	59800	62067	634442	1614337	0
2015.09.13	61772	65563	61440	62359	832594	2164234	0
2015.09.20	62905	63051	58202	58999	872815	2248608	0
2015.09.27	58606	62410	57966	62370	759503	1884726	0
2015.10.04	62668	65561	62569	65281	834893	2062197	0
2015.10.11	64349	64349	60969	61625	675154	1648936	0
2015.10.18	62029	64284	61266	62389	742863	1874139	0
2015.10.25	62210	62985	59502	60117	677751	1661167	0
2015.11.01	60686	64504	60581	61567	681005	1700535	0
2015.11.08	61659	62153	59406	60971	784191	1959558	0
2015.11.15	60744	63204	60576	63179	516049	1313802	0
2015.11.22	63117	63632	59507	59572	580088	1526316	0
2015.11.29	59500	61479	58097	59184	842429	2128676	0
2015.12.06	58865	60371	57465	58755	859792	2145155	0
2015.12.13	59065	60121	56579	56744	787991	1883343	0
2015.12.20	56928	57359	55657	57034	348385	876866	0
2015.12.27	56776	57008	55889	56174	202636	516227	0
2016.01.03	54450	55247	52168	52168	563858	1526453	0
2016.01.10	52202	52804	48910	49710	724687	1972605	0
2016.01.17	49915	50115	47600	48872	733729	2077692	0
2016.01.24	48089	51796	47607	51741	677212	1978325	0
2016.01.31	51411	53151	49117	51864	1029245	2850716	0
2016.02.07	51168	51742	49847	51042	441615	1218361	0
2016.02.14	51858	54132	51075	52920	773327	2097430	0
2016.02.21	54264	55714	52611	52905	878477	2266502	0
2016.02.28	53126	63805	53052	62493	1248960	3362290	0
2016.03.06	62183	63730	60962	63000	1312601	3182075	0
2016.03.13	63234	65353	58928	64168	1292981	2997626	0
2016.03.20	64448	65111	61668	62968	675824	1552137	0
2016.03.27	63479	66100	62217	63752	996033	2369077	0
2016.04.03	63491	63676	60398	63581	962551	2362622	0
2016.04.10	63693	67797	63143	66919	1058869	2513238	0
2016.04.17	67758	67934	65739	66516	678419	1545895	0
2016.04.24	66424	68999	64922	67450	893135	2086126	0
2016.05.01	67690	67940	63932	64712	927506	2182558	0
2016.05.08	64832	67601	61968	64212	1196536	2866275	0
2016.05.15	64597	65249	61702	61999	1058487	2509991	0
2016.05.22	60922	62616	60463	61153	748496	1790350	0
2016.05.29	61249	62794	59571	62599	878325	2201139	0
2016.06.05	63028	64152	60895	60895	1031483	2690012	0
2016.06.12	60526	61930	59283	61130	1132405	2938754	0
2016.06.19	62325	64090	60371	61287	1128840	2962388	0
2016.06.26	60946	64295	60216	64105	1034513	2644024	0
2016.07.03	64533	65255	62304	65160	984997	2562681	0
2016.07.10	65258	68042	65252	67434	1015874	2786541	0
2016.07.17	67653	69762	67600	69467	1037220	2873879	0
2016.07.24	69376	69915	68144	69915	1025659	2891147	0
2016.07.31	69618	70517	67710	69983	1177703	3328127	0
2016.08.07	70072	71120	68715	70315	1038025	2982079	0
2016.08.14	70513	71871	70201	71576	1074427	3022780	0
2016.08.21	71073	71157	68975	69715	1155880	3256411	0
2016.08.28	69638	71816	69269	71656	1124521	3088256	0
2016.09.04	71703	72337	69089	69149	797989	2227632	0
2016.09.11	68634	70303	67806	68490	1342511	3595012	0
2016.09.18	69038	71054	68314	70143	1040403	2933907	0
2016.09.25	69500	71078	68488	69583	1111377	3225698	0
2016.10.02	69803	72859	69512	72734	1145911	3336011	0
2016.10.09	72944	73654	71593	73534	812714	2395260	0
2016.10.16	73273	76223	73221	75783	1254756	3793732	0
2016.10.23	76311	76592	74570	75899	1425289	4244599	0
2016.10.30	75933	77198	72481	72676	1275356	3877336	0
2016.11.06	74105	76400	69166	69721	2046372	5734321	0
2016.11.13	69746	72283	68439	70396	1634049	4328085	0
2016.11.20	70770	73442	70671	72102	1265836	3570133	0
2016.11.27	71702	73735	67832	70377	1687583	4974982	0
2016.12.04	70928	72400	68676	70548	1638745	4667029	0
2016.12.11	69833	70505	68380	69229	1486212	4161176	0
2016.12.18	69141	69465	67343	68789	1204147	3407566	0
2016.12.25	68733	71191	68704	71031	623263	1894249	0
2017.01.01	70875	73627	70097	72857	1161614	3589371	0
2017.01.08	72633	75925	72209	74994	1137208	3602092	0
2017.01.15	74641	75951	74504	75700	1071023	3546377	0
2017.01.22	75717	78161	75688	77365	870817	2964300	0
2017.01.29	77056	77163	74992	76144	1203797	4250567	0
2017.02.05	75950	77178	74304	76993	1233455	4432674	0
2017.02.12	77172	79565	77166	78635	1219425	4327555	0
2017.02.19	79147	80695	77056	77376	1068227	3838472	0
2017.02.26	78133	78309	76024	77272	658247	2261735	0
2017.03.05	76913	77452	74211	74904	1313634	4646828	0
2017.03.12	75304	76983	74054	74229	1497033	5167958	0
2017.03.19	74101	75198	71743	73707	1769424	5964692	0
2017.03.26	72893	75663	72549	74627	1271182	4341614	0
2017.04.02	74892	75949	73185	74069	1288399	4501142	0
2017.04.09	73958	74518	71820	71890	1178614	4170592	0
2017.04.16	72142	73956	72057	72808	1139810	3975318	0
2017.04.23	73810	74705	72931	74537	1295550	4746653	0
2017.04.30	74931	76272	73386	74831	1080478	4017635	0
2017.05.07	74593	77812	74312	77317	1257657	4663186	0
2017.05.14	77703	78245	65112	71081	1504547	4910391	0
2017.05.21	70435	72647	68785	72617	1791804	5605647	0
2017.05.28	72418	72508	70174	70414	1305397	4462007	0
2017.06.04	70424	71848	69919	70088	1449148	4910152	0
2017.06.11	70018	70402	69002	69582	1142120	3966230	0
2017.06.18	69723	70129	68122	68745	1425703	4866284	0
2017.06.25	69007	70721	68961	70451	1435027	4954803	0
2017.07.02	70755	71148	69532	69927	1119075	4053553	0
2017.07.09	70011	73432	69924	73317	1299376	4657885	0
2017.07.16	73319	73438	72169	72209	1141848	4143893	0
2017.07.23	72203	73483	72170	73089	1228183	4561335	0
2017.07.30	73474	74921	73171	74292	1184038	4720921	0
2017.08.06	74412	76164	73557	74067	1533261	5958851	0
2017.08.13	74761	76535	74600	76303	1546267	6271263	0
2017.08.20	76529	79230	75988	78784	1323830	5537601	0
2017.08.27	78617	79870	77954	79620	1205610	5049086	0
2017.09.03	79214	81655	79165	80815	1094076	4818222	0
2017.09.10	81235	83616	81202	83601	1820026	7542168	0
2017.09.17	83591	84255	82623	82888	1963801	8039796	0
2017.09.24	82840	83010	80460	81693	1932014	8098346	0
2017.10.01	82002	85715	81137	83453	2224383	9176534	0
2017.10.08	83815	84963	82514	84378	1628973	6292192	0
2017.10.15	84725	84818	82478	83496	1743116	6788674	0
2017.10.22	83843	84307	82354	83038	2462837	9746901	0
2017.10.29	82726	82820	79761	80691	2008780	7541793	0
2017.11.05	81116	81269	78430	78980	2680384	9670742	0
2017.11.12	78715	80147	77102	79832	2159575	7481145	0
2017.11.19	80558	81770	80336	80501	1675403	5801408	0
2017.11.26	80531	81527	77271	78436	2897610	10019784	0
2017.12.03	78969	80542	77363	78791	3144829	11359634	0
2017.12.10	79165	81581	77846	78441	2850653	9949718	0
2017.12.17	78945	81604	78298	81604	1996978	7099669	0
2017.12.24	81360	82615	81133	82435	806945	2772595	0
2017.12.31	82702	85528	82648	85441	1651432	5974363	0
2018.01.07	85665	85837	84284	85583	2208881	7967640	0
